,side_bin,HorzApprAngle
0,"(-4.82, -3.641]",-5.7912075
1,"(-3.641, -2.48]",-4.200954160714286
2,"(-2.48, -1.318]",-2.7237051087398374
3,"(-1.318, -0.156]",-1.422415779859967
4,"(-0.156, 1.005]",-0.24829998750202234
5,"(1.005, 2.167]",0.8278404817590752
6,"(2.167, 3.328]",1.8551512663627485
7,"(3.328, 4.49]",2.945146768181818
8,"(4.49, 5.652]",3.5524580714285716
9,"(5.652, 6.813]",4.652545
10,"(6.813, 7.975]",
11,"(7.975, 9.136]",
12,"(9.136, 10.298]",
13,"(10.298, 11.46]",
14,"(11.46, 12.621]",11.932481
