,side_bin,HorzApprAngle
0,"(-6.068, -5.276]",-6.4964825
1,"(-5.276, -4.495]",-7.213622599999999
2,"(-4.495, -3.714]",-6.713818153846154
3,"(-3.714, -2.934]",-6.104124602870813
4,"(-2.934, -2.153]",-5.246803845454545
5,"(-2.153, -1.372]",-4.299169491713651
6,"(-1.372, -0.592]",-3.4052225192020273
7,"(-0.592, 0.189]",-2.5638933487708813
8,"(0.189, 0.97]",-1.8210157760929997
9,"(0.97, 1.75]",-1.1323453651629898
10,"(1.75, 2.531]",-0.5230376434841323
11,"(2.531, 3.312]",0.28121209727626456
12,"(3.312, 4.092]",0.8538863469387755
13,"(4.092, 4.873]",1.749760142857143
14,"(4.873, 5.653]",2.5536585
