,side_bin,HorzApprAngle
0,"(-3.865, -3.315]",-0.6977627499999999
1,"(-3.315, -2.773]",-1.0512181
2,"(-2.773, -2.23]",-0.5306141538461538
3,"(-2.23, -1.688]",0.09749139495798319
4,"(-1.688, -1.146]",0.6742274782608696
5,"(-1.146, -0.604]",1.3024083389450054
6,"(-0.604, -0.0622]",1.9589596184041183
7,"(-0.0622, 0.48]",2.5827237310549775
8,"(0.48, 1.022]",3.104159855441256
9,"(1.022, 1.564]",3.70783345178106
10,"(1.564, 2.106]",4.335531590909091
11,"(2.106, 2.648]",4.881225513333333
12,"(2.648, 3.19]",5.548117531914894
13,"(3.19, 3.732]",6.3473584999999995
14,"(3.732, 4.274]",7.375389
