,side_bin,HorzApprAngle
0,"(-4.878, -4.316]",-6.488862
1,"(-4.316, -3.762]",-6.9623295
2,"(-3.762, -3.209]",-5.779890333333333
3,"(-3.209, -2.655]",-5.036236990783411
4,"(-2.655, -2.102]",-4.499428626799557
5,"(-2.102, -1.548]",-3.886673756991686
6,"(-1.548, -0.994]",-3.272695867651732
7,"(-0.994, -0.441]",-2.691214350598035
8,"(-0.441, 0.113]",-2.1371102788250766
9,"(0.113, 0.666]",-1.5984363093234057
10,"(0.666, 1.22]",-1.0324656690017513
11,"(1.22, 1.774]",-0.47148723658051694
12,"(1.774, 2.327]",0.03622394881889764
13,"(2.327, 2.881]",0.8277393389830509
14,"(2.881, 3.434]",1.4937125714285713
