,side_bin,HorzApprAngle
0,"(-5.179, -4.394]",-3.668957
1,"(-4.394, -3.62]",-2.7897244375
2,"(-3.62, -2.846]",-2.136039153034301
3,"(-2.846, -2.072]",-1.515748044786564
4,"(-2.072, -1.298]",-0.7786232242186425
5,"(-1.298, -0.524]",-0.01788848832035595
6,"(-0.524, 0.25]",0.7566266804590392
7,"(0.25, 1.024]",1.5358936653872206
8,"(1.024, 1.797]",2.324045947474858
9,"(1.797, 2.571]",3.147896257008049
10,"(2.571, 3.345]",4.003767042316258
11,"(3.345, 4.119]",4.919356366666666
12,"(4.119, 4.893]",5.279362600000001
13,"(4.893, 5.667]",6.480079
14,"(5.667, 6.441]",9.412454
