,side_bin,HorzApprAngle
0,"(-8.463, -7.463]",-9.978712
1,"(-7.463, -6.478]",
2,"(-6.478, -5.493]",-6.82523375
3,"(-5.493, -4.509]",-5.39007025
4,"(-4.509, -3.524]",-4.393951081300813
5,"(-3.524, -2.539]",-3.7840969976019188
6,"(-2.539, -1.554]",-2.8444318493211993
7,"(-1.554, -0.569]",-1.8557950517741433
8,"(-0.569, 0.415]",-0.8858170814649307
9,"(0.415, 1.4]",0.052784776095605425
10,"(1.4, 2.385]",0.9881254105418179
11,"(2.385, 3.37]",1.903880357321876
12,"(3.37, 4.355]",2.9772597839506174
13,"(4.355, 5.34]",4.026271733333333
14,"(5.34, 6.324]",4.775201333333333
