,side_bin,HorzApprAngle
0,"(-3.046, -2.648]",-5.1785
1,"(-2.648, -2.256]",-5.429784000000001
2,"(-2.256, -1.863]",-3.8676106666666663
3,"(-1.863, -1.471]",-4.382836999999999
4,"(-1.471, -1.078]",-4.146030466666667
5,"(-1.078, -0.686]",-3.59332855
6,"(-0.686, -0.293]",-2.904760192307692
7,"(-0.293, 0.0994]",-2.07328876
8,"(0.0994, 0.492]",-2.011237655172414
9,"(0.492, 0.884]",-1.3631735
10,"(0.884, 1.277]",-1.0338823888888888
11,"(1.277, 1.669]",-0.8004236875
12,"(1.669, 2.062]",-1.7423175
13,"(2.062, 2.454]",0.201932
14,"(2.454, 2.847]",0.3140826666666667
