,side_bin,HorzApprAngle
0,"(-4.366, -3.721]",-2.7090539
1,"(-3.721, -3.086]",-2.323644916666667
2,"(-3.086, -2.451]",-1.8257289735449735
3,"(-2.451, -1.816]",-1.1182951856148493
4,"(-1.816, -1.181]",-0.6000267719648562
5,"(-1.181, -0.546]",0.07946193530125353
6,"(-0.546, 0.0889]",0.7263879724513362
7,"(0.0889, 0.724]",1.3682180377243067
8,"(0.724, 1.359]",2.0164943862559244
9,"(1.359, 1.994]",2.7104339756906075
10,"(1.994, 2.629]",3.3734220444444443
11,"(2.629, 3.264]",4.414898142857143
12,"(3.264, 3.899]",4.718870555555555
13,"(3.899, 4.534]",7.998206
14,"(4.534, 5.169]",5.312721
