,side_bin,HorzApprAngle
0,"(-4.718, -4.042]",-6.925245
1,"(-4.042, -3.375]",-4.6527502307692306
2,"(-3.375, -2.708]",-4.0017856486486485
3,"(-2.708, -2.041]",-3.1543359198767336
4,"(-2.041, -1.374]",-2.4305179024040187
5,"(-1.374, -0.708]",-1.7402555899976953
6,"(-0.708, -0.0409]",-1.0574731152258379
7,"(-0.0409, 0.626]",-0.3957395178607879
8,"(0.626, 1.293]",0.266875796430603
9,"(1.293, 1.96]",0.9077963017996497
10,"(1.96, 2.626]",1.467495513083049
11,"(2.626, 3.293]",2.152038631123919
12,"(3.293, 3.96]",2.7018236140350878
13,"(3.96, 4.627]",3.4306849090909086
14,"(4.627, 5.293]",3.6594243333333334
