,side_bin,HorzApprAngle
0,"(-7.987, -7.067]",-5.915909
1,"(-7.067, -6.16]",
2,"(-6.16, -5.252]",-3.6427595
3,"(-5.252, -4.345]",-0.9753113571428571
4,"(-4.345, -3.438]",-0.569073
5,"(-3.438, -2.531]",0.2374015194805195
6,"(-2.531, -1.624]",0.9711122779675491
7,"(-1.624, -0.717]",1.7068907274204341
8,"(-0.717, 0.19]",2.5179231766746413
9,"(0.19, 1.098]",3.4077084280648617
10,"(1.098, 2.005]",4.381793867543521
11,"(2.005, 2.912]",5.434684839820875
12,"(2.912, 3.819]",6.512961256235827
13,"(3.819, 4.726]",7.3124473684210525
14,"(4.726, 5.633]",9.213336250000001
