,side_bin,HorzApprAngle
0,"(-6.436, -5.566]",-9.71567625
1,"(-5.566, -4.708]",-6.854917928571429
2,"(-4.708, -3.85]",-7.158649911111111
3,"(-3.85, -2.992]",-6.353132087218046
4,"(-2.992, -2.134]",-5.421623162798793
5,"(-2.134, -1.276]",-4.397746222862047
6,"(-1.276, -0.419]",-3.4708414578086537
7,"(-0.419, 0.439]",-2.635466948970846
8,"(0.439, 1.297]",-1.8676544972284896
9,"(1.297, 2.155]",-1.1166828069522696
10,"(2.155, 3.013]",-0.36023720892746436
11,"(3.013, 3.871]",0.316818640625
12,"(3.871, 4.729]",1.1847106571428572
13,"(4.729, 5.586]",2.4034039999999997
14,"(5.586, 6.444]",2.520507
