,side_bin,HorzApprAngle
0,"(-3.816, -3.234]",-4.568268
1,"(-3.234, -2.661]",-4.781420923076923
2,"(-2.661, -2.088]",-3.7396698
3,"(-2.088, -1.515]",-2.9567430362694296
4,"(-1.515, -0.942]",-2.281708037117904
5,"(-0.942, -0.369]",-1.6630995224534502
6,"(-0.369, 0.204]",-1.018494678837556
7,"(0.204, 0.777]",-0.37356872276483843
8,"(0.777, 1.35]",0.11087475550660793
9,"(1.35, 1.923]",0.6998626504237289
10,"(1.923, 2.497]",1.0367443299492385
11,"(2.497, 3.07]",1.8248302741935485
12,"(3.07, 3.643]",2.6759239999999997
13,"(3.643, 4.216]",2.7987702
14,"(4.216, 4.789]",3.5240994
