,height_bin,VertApprAngle
0,"(-4.018, -3.117]",-13.9031658
1,"(-3.117, -2.23]",-12.513116833333333
2,"(-2.23, -1.342]",-11.296403765027321
3,"(-1.342, -0.454]",-10.317565690549722
4,"(-0.454, 0.433]",-9.344328448803534
5,"(0.433, 1.321]",-8.409785389669711
6,"(1.321, 2.208]",-7.517851197001389
7,"(2.208, 3.096]",-6.651052882877314
8,"(3.096, 3.984]",-5.813148898524481
9,"(3.984, 4.871]",-4.975650680706101
10,"(4.871, 5.759]",-4.186962429357798
11,"(5.759, 6.646]",-3.4424667272727274
12,"(6.646, 7.534]",-2.3972695714285712
13,"(7.534, 8.422]",-3.2667694285714286
14,"(8.422, 9.309]",-2.455561
