,height_bin,VertApprAngle
0,"(-6.734, -5.623]",-22.701562
1,"(-5.623, -4.528]",
2,"(-4.528, -3.432]",-15.775127571428571
3,"(-3.432, -2.337]",-14.264269285714285
4,"(-2.337, -1.242]",-13.316296331412103
5,"(-1.242, -0.147]",-12.155459078177103
6,"(-0.147, 0.948]",-10.955834248491538
7,"(0.948, 2.043]",-9.82908256277516
8,"(2.043, 3.138]",-8.817943668364261
9,"(3.138, 4.233]",-7.921034853135448
10,"(4.233, 5.329]",-7.032477151909017
11,"(5.329, 6.424]",-6.068435861979167
12,"(6.424, 7.519]",-5.206502311475409
13,"(7.519, 8.614]",-3.8091977
14,"(8.614, 9.709]",-2.8509292000000004
