,height_bin,VertApprAngle
0,"(-2.961, -2.273]",-13.463585
1,"(-2.273, -1.596]",-11.609247571428572
2,"(-1.596, -0.919]",-10.777124417910446
3,"(-0.919, -0.241]",-10.10683280597015
4,"(-0.241, 0.436]",-9.244010784726795
5,"(0.436, 1.113]",-8.457594857984432
6,"(1.113, 1.791]",-7.716859621592255
7,"(1.791, 2.468]",-6.977191998280373
8,"(2.468, 3.145]",-6.279737276812008
9,"(3.145, 3.822]",-5.59921772968525
10,"(3.822, 4.5]",-4.973937275064268
11,"(4.5, 5.177]",-4.261060286111111
12,"(5.177, 5.854]",-3.8120570972222225
13,"(5.854, 6.532]",-3.286786454545455
14,"(6.532, 7.209]",-2.1243645
