,height_bin,VertApprAngle
0,"(-2.911, -2.031]",-12.073693666666665
1,"(-2.031, -1.164]",-10.156874688073396
2,"(-1.164, -0.298]",-8.990635817866435
3,"(-0.298, 0.569]",-7.94968004867619
4,"(0.569, 1.436]",-6.998877910870477
5,"(1.436, 2.302]",-6.095221700965077
6,"(2.302, 3.169]",-5.216905369574209
7,"(3.169, 4.036]",-4.353175312559585
8,"(4.036, 4.902]",-3.509734619551517
9,"(4.902, 5.769]",-2.6644507146520144
10,"(5.769, 6.636]",-1.8614952442019101
11,"(6.636, 7.502]",-0.9893122678571428
12,"(7.502, 8.369]",-0.7932411666666667
13,"(8.369, 9.236]",
14,"(9.236, 10.102]",2.77334
