,height_bin,VertApprAngle
0,"(-2.62, -2.118]",-15.141227
1,"(-2.118, -1.624]",
2,"(-1.624, -1.13]",
3,"(-1.13, -0.636]",
4,"(-0.636, -0.142]",-9.557395
5,"(-0.142, 0.353]",-12.15855
6,"(0.353, 0.847]",-8.539666692307692
7,"(0.847, 1.341]",-8.17837459090909
8,"(1.341, 1.835]",-7.646931625
9,"(1.835, 2.329]",-6.678397076923077
10,"(2.329, 2.823]",-6.414800971428572
11,"(2.823, 3.318]",-5.77840225
12,"(3.318, 3.812]",-6.085826526315789
13,"(3.812, 4.306]",-4.843399384615385
14,"(4.306, 4.8]",-4.8180518
