,height_bin,VertApprAngle
0,"(-3.201, -2.159]",-13.396370704545454
1,"(-2.159, -1.132]",-12.072122445392491
2,"(-1.132, -0.106]",-10.753408729403533
3,"(-0.106, 0.921]",-9.594198024527703
4,"(0.921, 1.948]",-8.496509136097249
5,"(1.948, 2.974]",-7.495076341364457
6,"(2.974, 4.001]",-6.596030662243558
7,"(4.001, 5.028]",-5.771548252315145
8,"(5.028, 6.055]",-4.91044002621232
9,"(6.055, 7.081]",-4.0702272022471915
10,"(7.081, 8.108]",-2.6779455555555556
11,"(8.108, 9.135]",-2.1834955000000003
12,"(9.135, 10.161]",-0.983469
13,"(10.161, 11.188]",2.362432
14,"(11.188, 12.215]",0.587793
