,height_bin,VertApprAngle
0,"(-2.609, -1.954]",-12.813121777777777
1,"(-1.954, -1.308]",-11.780599916666667
2,"(-1.308, -0.663]",-11.151566347826087
3,"(-0.663, -0.0172]",-10.406134841346155
4,"(-0.0172, 0.628]",-9.633698905594406
5,"(0.628, 1.274]",-8.889320039028622
6,"(1.274, 1.92]",-8.133933425490197
7,"(1.92, 2.565]",-7.4938105424795465
8,"(2.565, 3.211]",-6.854641324640288
9,"(3.211, 3.856]",-6.273859636531365
10,"(3.856, 4.502]",-5.661930953703704
11,"(4.502, 5.147]",-5.242007051282052
12,"(5.147, 5.793]",-4.3355243
13,"(5.793, 6.439]",-4.110667230769231
14,"(6.439, 7.084]",-3.4374352499999996
