Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Duenas, Zach",WES_HIL,Curveball,149,74.266594,6.2107019999999995,1.051396,6.722066,-17.52994,-15.959872,-1.6846284338367539,-0.046525379172781725
"Rossi, Tony",CHA_FOR,Curveball,146,84.47600166666668,5.863153333333333,2.111095,6.092675,-3.523585,-16.80949,1.165803458112836,-1.3445256822822425
"Meyer, Chase",WES_MOU,Curveball,140,83.82010612903227,5.471146129032258,1.6953433870967742,5.551101774193548,-13.002639193548386,-16.218214677419354,0.6643069559143271,-0.8712548820111733
"Willis, Coleman",GEO_BUL,Curveball,140,81.57862499999999,6.81274,0.325095,5.996905,-11.19528,-9.09349,-0.6526346267293182,1.1030392760929997
"Smith, Tanner",HAR_CRI,Curveball,139,82.84629399999999,6.601228727272727,0.9314196363636363,5.828647636363637,-15.370996909090907,-5.951081272727272,-0.7265260626692243,0.8366292199499544
"Ojeda, Ricky",CAL_ANT,Curveball,139,70.62266325,5.1215867500000005,-1.49251625,6.717935249999999,-15.7859345,12.12958725,-0.6912878933627347,0.18917289094168205
"O'Brien, Liam",GON_BUL,Curveball,137,81.9234047826087,6.63984304347826,2.4282478260869564,5.365458260869565,-16.342288260869566,-6.8905586956521745,-0.8248813584724722,-0.7644975019479001
"Meyer, Chase",WES_MOU,Slider,137,83.6252605263158,5.370404210526316,1.7788887368421051,5.675772105263158,-8.952889684210527,-17.53870947368421,-0.27894533533996235,-0.8716770745013875
"Thomas, Brett",GIT_YEL,Slider,137,84.93347542056074,6.589951401869159,0.6744984112149532,4.505069626168225,-3.008846635514019,5.508123551401869,-0.845410263090609,2.3748154549054674
"Olsen, Bobby",NEB,Slider,137,80.16200666666667,5.871436666666667,2.237216666666667,5.473906666666667,-18.81371,-10.561553333333334,-1.9298391288136818,-0.7897773784706157
"Flynn, Bennett",NOT_IRI,Cutter,136,82.051875,6.70693,0.46707,5.216505,-9.508610000000001,-0.05980000000000002,-2.8091367152732056,1.5272481091248835
"Glatch, Will",BAY_BEA,Curveball,135,84.43939999999999,6.114586666666667,1.6290466666666668,4.597356666666667,-11.663076666666667,-6.452576666666666,0.24291591515820463,0.3673501107327278
"Morton, Isaac",TEX_AGG,Slider,135,86.01038711111111,5.5264064444444445,1.3838914444444443,5.201727777777778,2.1573045555555557,-16.670278888888888,0.8712916311373791,-0.2883724380682369
