Pitcher,PitcherTeam,TaggedPitchType,Stuff+,RelSpeed,RelHeight,RelSide,Extension,InducedVertBreak,HorzBreak,AdjustedVAA,AdjustedHAA
"Flynn, Bennett",NOT_IRI,ChangeUp,154,84.64255,6.64456,0.42083,5.19589,-9.32745,-3.54248,-2.282949101475519,-0.3947460124979777
"Yesavage, Trey",ECU_PIR,ChangeUp,144,84.2617676744186,6.992139302325581,0.9819386046511628,5.361589302325581,4.546783720930232,8.32586023255814,-1.3544080174780837,0.4039411951789964
"McNeely, Colby",RID_BRO,ChangeUp,143,83.32812,5.24214,1.95751,6.36187,-4.94071,12.89587,-1.121696309450277,-0.16346801249797768
"Causey, AJ",TEN_VOL,ChangeUp,143,79.43725102702702,4.126382486486486,1.2664095135135136,4.9856197837837835,-3.1575697837837837,21.287100324324324,0.43670416599678996,1.2730794946033888
"Yesavage, Trey",ECU_PIR,Splitter,143,82.88055871212121,7.0212534090909084,1.0108881818181819,5.038918333333333,5.636264015151515,11.43681681818182,-0.9024862224592115,0.8934852807160208
"Weaver, Aidan",DUK_BLU,ChangeUp,142,79.99447266666667,6.359314666666666,1.2922913333333335,6.409824,11.840918666666665,16.068633333333334,-0.7194237609553444,0.6469730248213192
"Sweeney, Justin",RUT_SCA,ChangeUp,142,82.51323,4.87968,1.59533,5.64752,-7.23311,15.70099,-0.32284311712268554,0.7657871087398374
"Leaman, Cole",LEH_MOU,ChangeUp,139,80.59576,5.60769,2.39532,5.86628,-16.34871,-11.81422,-2.331346551196466,-2.7201492201400335
"Garcia, Brett",ABI_WIL,ChangeUp,137,79.47844,6.12485,1.17572,5.85365,-19.75111,-8.22481,-2.7812708029986117,-0.8163258912601625
"Olson, Luke",OHI_BOB,ChangeUp,137,74.97688481481481,5.140458148148149,1.8209066666666667,6.822657777777778,8.505447037037037,20.123384444444444,-0.12672053586853804,0.5058013196459145
"Causey, A.J.",TEN_VOL,ChangeUp,137,78.272361375,4.194374375000001,1.0062365,4.83337225,-1.21210875,23.102206625,0.36145446540055626,1.7384125950901417
"Vanderhave, Jakob",ARM_BLA,ChangeUp,137,79.24106,5.74536,1.57257,6.92263,12.58367,22.2221,0.12238938966971169,1.1502529875020224
